rank,title,titles0,link,score,score_cnt,account,comment
82,哈利·波特与阿兹卡班的囚徒,/Harry Potter and the Prisoner of Azkaban,https://movie.douban.com/subject/1291544/,9.0,771735人评价,导演:AlfonsoCuarón主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...2004/英国美国/奇幻冒险,不一样的导演，不一样的哈利·波特。
83,致命魔术,/The Prestige,https://movie.douban.com/subject/1780330/,8.9,892153人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006/英国美国/剧情悬疑惊悚,孪生蝙蝠侠大战克隆金刚狼。
84,心灵捕手,/Good Will Hunting,https://movie.douban.com/subject/1292656/,8.9,745484人评价,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...1997/美国/剧情,人生中应该拥有这样的一段豁然开朗。
85,超脱,/Detachment,https://movie.douban.com/subject/5322596/,9.0,638387人评价,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...2011/美国/剧情,穷尽一生，我们要学会的，不过是彼此拥抱。
86,低俗小说,/Pulp Fiction,https://movie.douban.com/subject/1291832/,8.9,867985人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994/美国/剧情喜剧犯罪,故事的高级讲法。
87,摩登时代,/Modern Times,https://movie.douban.com/subject/1294371/,9.3,314779人评价,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...1936/美国/剧情喜剧爱情,大时代中的人生，小人物的悲喜。
88,海豚湾,/The Cove,https://movie.douban.com/subject/3442220/,9.3,365012人评价,导演:路易·西霍尤斯LouiePsihoyos主演:路易·西霍尤斯LouiePsihoyo...2009/美国/纪录片,海豚的微笑，是世界上最高明的伪装。
89,春光乍泄,/春光乍洩,https://movie.douban.com/subject/1292679/,9.0,656052人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997/中国香港日本韩国/剧情爱情同性,爱情纠缠，男女一致。
90,喜剧之王,/喜劇之王,https://movie.douban.com/subject/1302425/,8.8,1005290人评价,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...1999/中国香港/喜剧剧情爱情,我是一个演员。
91,美国往事,/Once Upon a Time in America,https://movie.douban.com/subject/1292262/,9.2,427515人评价,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/美国意大利/犯罪剧情,往事如烟，无处祭奠。
92,致命ID,/Identity,https://movie.douban.com/subject/1297192/,8.9,861009人评价,导演:詹姆斯·曼高德JamesMangold主演:约翰·库萨克JohnCusack/雷...2003/美国/剧情悬疑惊悚,最不可能的那个人永远是最可能的。
93,杀人回忆,/살인의 추억,https://movie.douban.com/subject/1300299/,8.9,750793人评价,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003/韩国/剧情动作犯罪悬疑惊悚,关于连环杀人悬案的集体回忆。
94,哈利·波特与密室,/Harry Potter and the Chamber of Secrets,https://movie.douban.com/subject/1296996/,8.9,798936人评价,导演:ChrisColumbus主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...2002/英国美国/奇幻冒险,魔法的密室之门已打开...
95,红辣椒,/パプリカ,https://movie.douban.com/subject/1865703/,9.1,493242人评价,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/江守彻Toru...2006/日本/动画悬疑科幻惊悚,梦的勾结。
96,加勒比海盗,/Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1298070/,8.8,892230人评价,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...2003/美国/动作冒险奇幻,约翰尼·德普的独角戏。
97,七宗罪,/Se7en,https://movie.douban.com/subject/1292223/,8.8,972973人评价,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...1995/美国/剧情犯罪悬疑惊悚,警察抓小偷，老鼠玩死猫。
98,一一,/Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,9.1,420389人评价,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...2000/中国台湾日本/剧情爱情家庭,我们都曾经是一一。
99,狩猎,/Jagten,https://movie.douban.com/subject/6985810/,9.1,412444人评价,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...2012/丹麦瑞典/剧情,人言可畏。
100,唐伯虎点秋香,/唐伯虎點秋香,https://movie.douban.com/subject/1306249/,8.7,1122625人评价,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...1993/中国香港/喜剧爱情古装,华太师是黄霑，吴镇宇四大才子之一。
101,7号房的礼物,/7번방의 선물,https://movie.douban.com/subject/10777687/,8.9,577175人评价,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013/韩国/剧情喜剧家庭,《我是山姆》的《美丽人生》。
102,被嫌弃的松子的一生,/嫌われ松子の一生,https://movie.douban.com/subject/1787291/,8.9,725383人评价,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...2006/日本/剧情歌舞,以戏谑来戏谑戏谑。
103,蝙蝠侠：黑暗骑士崛起,/The Dark Knight Rises,https://movie.douban.com/subject/3395373/,8.9,750633人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2012/美国英国/剧情动作科幻犯罪惊悚,诺兰就是保证。
104,爱在黎明破晓前,/Before Sunrise,https://movie.douban.com/subject/1296339/,8.8,715512人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...1995/美国奥地利瑞士/剧情爱情,缘分是个连绵词，最美不过一瞬。
105,请以你的名字呼唤我,/Call Me by Your Name,https://movie.douban.com/subject/26799731/,8.8,752416人评价,导演:卢卡·瓜达尼诺LucaGuadagnino主演:艾米·汉莫ArmieHammer/...2017/意大利法国巴西美国/剧情爱情同性,沉醉在电影的情感和视听氛围中无法自拔。
106,甜蜜蜜,/Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,8.9,590285人评价,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...1996/中国香港/剧情爱情,相逢只要一瞬间，等待却像是一辈子。
107,断背山,/Brokeback Mountain,https://movie.douban.com/subject/1418834/,8.8,728115人评价,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...2005/美国加拿大/剧情爱情同性家庭,每个人心中都有一座断背山。
108,剪刀手爱德华,/Edward Scissorhands,https://movie.douban.com/subject/1292370/,8.7,1063094人评价,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·...1990/美国/剧情奇幻爱情,浪漫忧郁的成人童话。
